Business ID: 36qqRqBt2QJvkW1y9z06NQ	 | Ground Truth Categories :[ "Pediatric Dentists" , "Health & Medical" , "Dentists"]				 | Programatically assigned Categoires :Health & Medical, Doctors		 | precision : 0.5 		 | Recall : 0.33333334		 | F-Measure : 0.4
Business ID: oh73AgLTIcSkOPGIwRFnDQ	 | Ground Truth Categories :[ "Health & Medical" , "Dentists" , "General Dentistry"]				 | Programatically assigned Categoires :Health & Medical,Doctors		 | precision : 0.5 		 | Recall : 0.33333334		 | F-Measure : 0.4
Business ID: bzV7hpqZlT-TT6fzOSGDbw	 | Ground Truth Categories :[ "Pediatric Dentists" , "Health & Medical" , "Dentists" , "Orthodontists" , "General Dentistry"]				 | Programatically assigned Categoires :Health & Medical,Doctors		 | precision : 0.5 		 | Recall : 0.2		 | F-Measure : 0.2857143
Business ID: C0YyL4dcH3EkgWK3y1leFg	 | Ground Truth Categories :[ "Endodontists" , "Health & Medical" , "Dentists" , "General Dentistry" , "Cosmetic Dentists"]				 | Programatically assigned Categoires :Health & Medical,Doctors		 | precision : 0.5 		 | Recall : 0.2		 | F-Measure : 0.2857143
Business ID: CN0kwDSXgX6mneGDNIfxCw	 | Ground Truth Categories :[ "Food" , "Juice Bars & Smoothies"]				 | Programatically assigned Categoires :Health Markets, Nutritionists		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: -A8bNVUYJIp3WN-RcuD3fg	 | Ground Truth Categories :[ "Health Markets" , "Food" , "Specialty Food"]				 | Programatically assigned Categoires :Health Markets		 | precision : 1.0 		 | Recall : 0.33333334		 | F-Measure : 0.5
Business ID: T9KdqrCEiONd6kCX8oyStw	 | Ground Truth Categories :[ "Shopping" , "Drugstores" , "Health Markets" , "Specialty Food" , "Weight Loss Centers" , "Food" , "Health & Medical"]				 | Programatically assigned Categoires :Health Markets, Nutritionists		 | precision : 0.5 		 | Recall : 0.14285715		 | F-Measure : 0.22222224
Business ID: I3RnM4JmJ787ySV6rBswvw	 | Ground Truth Categories :[ "Food" , "Grocery" , "Farmers Market"]				 | Programatically assigned Categoires :Health Markets, Grocery		 | precision : 0.5 		 | Recall : 0.33333334		 | F-Measure : 0.4
Business ID: OBGt2uwc-f26RHvsSIRstg	 | Ground Truth Categories :[ "Health Markets" , "Food" , "Juice Bars & Smoothies" , "Specialty Food"]				 | Programatically assigned Categoires :Health Markets		 | precision : 1.0 		 | Recall : 0.25		 | F-Measure : 0.4
Business ID: 602gnSwkHsGfftakZ1ckaA	 | Ground Truth Categories :[ "Nutritionists" , "Health & Medical"]				 | Programatically assigned Categoires :Health Markets		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: UTrs6gV6Y49JTMBif6ujqQ	 | Ground Truth Categories :[ "Health Markets" , "Food" , "Specialty Food"]				 | Programatically assigned Categoires :Health Markets		 | precision : 1.0 		 | Recall : 0.33333334		 | F-Measure : 0.5
Business ID: KeX07Io6ZS7UqrVB974hTg	 | Ground Truth Categories :[ "Health Markets" , "Food" , "Specialty Food"]				 | Programatically assigned Categoires :Health Markets		 | precision : 1.0 		 | Recall : 0.33333334		 | F-Measure : 0.5
Business ID: 5yofqgNtK9gJKoonn4ruCg	 | Ground Truth Categories :[ "Health Markets" , "Food" , "Specialty Food"]				 | Programatically assigned Categoires :Health Markets		 | precision : 1.0 		 | Recall : 0.33333334		 | F-Measure : 0.5
Business ID: Dra-diHsNo-c-LzOpIwY8g	 | Ground Truth Categories :[ "Food" , "Breakfast & Brunch" , "Grocery" , "Butcher" , "Restaurants"]				 | Programatically assigned Categoires :Health Markets		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: owUZBugX032gYls-gkSwmA	 | Ground Truth Categories :[ "Live/Raw Food" , "Vegan" , "Restaurants"]				 | Programatically assigned Categoires :Health Markets, Nutritionists		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: L7QZ1Bns2XI7l304jxWNuA	 | Ground Truth Categories :[ "Health Markets" , "Food" , "Specialty Food"]				 | Programatically assigned Categoires :Health Markets		 | precision : 1.0 		 | Recall : 0.33333334		 | F-Measure : 0.5
Business ID: wUd2aOHxWrKmYteI0OH5rQ	 | Ground Truth Categories :[ "Home Services" , "Heating & Air Conditioning/HVAC"]				 | Programatically assigned Categoires :Heating & Air ConditioningHVAC		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: 1p3A72Hy2aTUBY4EExy70g	 | Ground Truth Categories :[ "Home Services" , "Heating & Air Conditioning/HVAC"]				 | Programatically assigned Categoires :Heating & Air ConditioningHVAC		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: -bVdJy8LzTNRYcSxJt2XNw	 | Ground Truth Categories :[ "Home Services" , "Heating & Air Conditioning/HVAC"]				 | Programatically assigned Categoires :Heating & Air ConditioningHVAC		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: D00ptx6zOfamhnJaYXOGLg	 | Ground Truth Categories :[ "Home Services" , "Heating & Air Conditioning/HVAC"]				 | Programatically assigned Categoires :Heating & Air ConditioningHVAC		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: hx1beb-ZQZqn0_wehMN0ww	 | Ground Truth Categories :[ "Active Life" , "Skate Parks" , "Parks"]				 | Programatically assigned Categoires :Hot Air Balloons		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: wcEOr7sPLa3XXr_FrfEaNw	 | Ground Truth Categories :[ "Health & Medical" , "Dentists" , "General Dentistry" , "Cosmetic Dentists"]				 | Programatically assigned Categoires :Endodontists		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: IY6nl4clGSgnWULYttY56Q	 | Ground Truth Categories :[ "Health & Medical" , "Dentists" , "General Dentistry"]				 | Programatically assigned Categoires :Endodontists, Oral Surgeons		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: vLxi2pG_dgz4qYtR-Ny0rA	 | Ground Truth Categories :[ "Health & Medical" , "Dentists" , "Orthodontists" , "General Dentistry"]				 | Programatically assigned Categoires :Endodontists		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: oA4TV0PZHE1hRrPc_ClKNg	 | Ground Truth Categories :[ "Doctors" , "Health & Medical" , "Urgent Care"]				 | Programatically assigned Categoires :Medical Centers,Urgent Care		 | precision : 0.5 		 | Recall : 0.33333334		 | F-Measure : 0.4
